student_id,attempt,question_id,concept,difficulty,correct,time_gap_days,days_since_practice,timestamp,knowledge_state
S001,72,Q341,NORMALIZATION,0.653,0,0.262,15.405,106.013,0.0
S001,73,Q202,PRIMARY KEY,0.254,1,4.285,16.589,110.298,0.06
S001,74,Q451,VIEWS,0.573,0,2.524,35.991,112.822,0.0
S001,75,Q291,JOINS,0.608,0,2.459,64.48,115.28,0.0
S001,76,Q140,STORED PROCEDURES,0.717,0,0.431,16.195,115.712,0.0
S001,77,Q023,NORMALIZATION,0.552,0,0.441,10.14,116.153,0.0
S001,78,Q378,AGGREGATE FUNCTIONS,0.56,1,2.645,36.917,118.798,0.06
S001,79,Q311,INNER JOIN,0.391,1,0.365,63.085,119.164,0.06
S001,80,Q389,HAVING,0.552,0,0.593,29.845,119.757,0.0
S001,81,Q362,RIGHT JOIN,0.6,0,0.475,47.727,120.232,0.0
S001,82,Q369,PRIMARY KEY,0.283,0,0.162,10.097,120.394,0.0
S001,83,Q499,FOREIGN KEY,0.458,0,2.648,41.661,123.042,0.0
S001,84,Q425,INNER JOIN,0.522,0,2.937,6.815,125.979,0.0
S001,85,Q465,WHERE,0.43,0,0.634,20.863,126.613,0.0
S001,86,Q414,TRIGGERS,0.737,0,0.868,51.308,127.481,0.0
S001,87,Q285,SELECT,0.344,0,0.922,23.441,128.403,0.0
S001,88,Q160,AGGREGATE FUNCTIONS,0.338,0,1.776,11.38,130.179,0.0
S001,89,Q407,ORDER BY,0.241,1,0.842,37.258,131.021,0.06
S001,90,Q085,VIEWS,0.618,0,1.903,20.102,132.924,0.0
S001,91,Q018,FOREIGN KEY,0.452,0,0.528,10.409,133.452,0.0
S001,92,Q414,TRIGGERS,0.737,0,0.029,6.0,133.481,0.0
S001,93,Q426,JOINS,0.626,0,3.201,21.402,136.682,0.0
S001,94,Q495,TRIGGERS,0.746,0,0.167,3.368,136.849,0.0
S001,95,Q201,AGGREGATE FUNCTIONS,0.359,0,0.357,7.027,137.206,0.0
S001,96,Q167,PRIMARY KEY,0.442,0,0.089,16.901,137.295,0.0
S001,97,Q147,INDEXING,0.616,0,0.613,35.158,137.909,0.0
S001,98,Q152,PRIMARY KEY,0.249,0,1.437,2.05,139.346,0.0
S001,99,Q175,INDEXING,0.505,1,2.103,3.54,141.449,0.06
S001,100,Q195,TRANSACTIONS,0.673,0,1.788,104.227,143.237,0.0
S002,1,Q449,HAVING,0.677,0,0.342,0.342,0.342,0.2637
S002,2,Q141,ORDER BY,0.343,1,3.066,3.408,3.408,0.3756
S002,3,Q432,NORMALIZATION,0.754,1,4.354,7.762,7.762,0.3003
S002,4,Q245,SELECT,0.37,0,0.187,7.949,7.949,0.2322
S002,5,Q128,SELECT,0.294,0,5.901,5.901,13.85,0.1187
S002,6,Q269,AGGREGATE FUNCTIONS,0.384,1,0.746,14.596,14.596,0.2797
S002,7,Q007,WHERE,0.38,1,2.224,16.82,16.82,0.3075
S002,8,Q193,INDEXING,0.643,1,0.027,16.847,16.847,0.2007
S002,9,Q025,LEFT JOIN,0.627,0,1.678,18.525,18.525,0.0
S002,10,Q029,WHERE,0.299,1,1.485,3.19,20.01,0.3197
S002,11,Q380,JOINS,0.601,0,3.2,23.21,23.21,0.0
S002,12,Q073,RIGHT JOIN,0.571,1,1.151,24.361,24.361,0.06
S002,13,Q086,HAVING,0.59,0,2.78,26.8,27.141,0.0
S002,14,Q435,NORMALIZATION,0.623,0,0.504,19.884,27.646,0.0
S002,15,Q413,LEFT JOIN,0.513,1,0.304,9.424,27.95,0.06
S002,16,Q429,WHERE,0.391,0,0.993,8.933,28.943,0.1607
S002,17,Q430,SUBQUERIES,0.653,1,0.736,29.679,29.679,0.06
S002,18,Q435,NORMALIZATION,0.623,0,0.495,2.528,30.174,0.0
S002,19,Q136,VIEWS,0.566,0,3.148,33.321,33.321,0.0
S002,20,Q185,INDEXING,0.692,1,2.038,18.513,35.36,0.06
S002,21,Q116,ORDER BY,0.363,0,1.568,33.519,36.928,0.0
S002,22,Q322,TRANSACTIONS,0.638,1,1.08,38.008,38.008,0.06
S002,23,Q020,WHERE,0.371,0,8.808,17.873,46.816,0.0
S002,24,Q221,PRIMARY KEY,0.424,0,0.887,47.703,47.703,0.0
S002,25,Q206,SUBQUERIES,0.557,0,0.699,18.722,48.402,0.0
S002,26,Q062,JOINS,0.537,0,0.704,25.895,49.105,0.0
S002,27,Q331,STORED PROCEDURES,0.731,0,1.604,50.709,50.709,0.0
S002,28,Q347,FOREIGN KEY,0.405,1,0.715,51.424,51.424,0.06
S002,29,Q256,ORDER BY,0.346,0,0.992,15.489,52.417,0.0
S002,30,Q124,FOREIGN KEY,0.397,0,0.15,1.143,52.567,0.0179
S002,31,Q048,ORDER BY,0.318,1,0.103,0.254,52.67,0.06
S002,32,Q250,INNER JOIN,0.477,0,1.191,53.862,53.862,0.0
S002,33,Q318,SUBQUERIES,0.809,0,2.437,7.897,56.299,0.0
S002,34,Q209,STORED PROCEDURES,0.739,0,0.022,5.611,56.321,0.0
S002,35,Q044,RIGHT JOIN,0.637,0,2.034,33.993,58.354,0.0
S002,36,Q265,NORMALIZATION,0.689,0,0.639,28.82,58.993,0.0
S002,37,Q442,NORMALIZATION,0.586,1,3.583,3.583,62.576,0.06
S002,38,Q387,UNION,0.384,1,0.852,63.428,63.428,0.06
S002,39,Q490,STORED PROCEDURES,0.81,0,1.297,8.404,64.725,0.0
S002,40,Q426,JOINS,0.626,0,0.55,16.169,65.275,0.0
S002,41,Q267,SELECT,0.307,0,0.474,51.899,65.749,0.0
S002,42,Q059,PRIMARY KEY,0.219,0,0.308,18.353,66.056,0.0
S002,43,Q386,SELECT,0.334,1,0.83,1.137,66.886,0.06
S002,44,Q300,VIEWS,0.627,0,2.054,35.618,68.94,0.0
S002,45,Q218,ORDER BY,0.226,0,1.787,18.056,70.727,0.0
S002,46,Q346,NORMALIZATION,0.661,1,0.899,9.05,71.626,0.06
S002,47,Q369,PRIMARY KEY,0.283,1,0.476,6.046,72.102,0.06
S002,48,Q239,INNER JOIN,0.478,1,1.519,19.759,73.621,0.06
S002,49,Q061,WHERE,0.356,0,0.588,27.394,74.209,0.0
S002,50,Q156,WHERE,0.223,0,0.933,0.933,75.142,0.0
S002,51,Q411,SUBQUERIES,0.668,0,1.357,20.201,76.499,0.0
S002,52,Q487,SUBQUERIES,0.631,1,2.249,2.249,78.749,0.06
S002,53,Q480,STORED PROCEDURES,0.638,0,2.146,16.17,80.895,0.0
S002,54,Q340,NORMALIZATION,0.688,0,2.229,11.498,83.123,0.0
S002,55,Q161,SELECT,0.357,0,0.849,17.087,83.973,0.0
S002,56,Q063,UNION,0.406,0,0.46,21.005,84.432,0.0
S002,57,Q096,LEFT JOIN,0.516,0,0.418,56.901,84.851,0.0
S002,58,Q120,LEFT JOIN,0.655,1,2.929,2.929,87.78,0.06
S002,59,Q217,PRIMARY KEY,0.385,1,3.423,19.101,91.203,0.06
S002,60,Q232,PRIMARY KEY,0.433,0,1.999,1.999,93.202,0.005
S002,61,Q077,HAVING,0.485,1,2.618,68.679,95.82,0.06
S002,62,Q331,STORED PROCEDURES,0.731,0,2.513,17.438,98.333,0.0
S002,63,Q038,SELECT,0.2,1,0.15,14.51,98.482,0.06
S002,64,Q299,GROUP BY,0.419,1,4.067,102.55,102.55,0.06
S002,65,Q061,WHERE,0.356,1,2.928,30.336,105.478,0.06
S002,66,Q163,INNER JOIN,0.376,0,1.27,33.127,106.748,0.0
S002,67,Q269,AGGREGATE FUNCTIONS,0.384,0,0.209,92.361,106.957,0.0
S002,68,Q187,HAVING,0.52,0,2.837,13.974,109.794,0.0
S002,69,Q414,TRIGGERS,0.737,0,0.563,110.357,110.357,0.0
S002,70,Q291,JOINS,0.608,0,0.024,45.106,110.381,0.0
S002,71,Q408,HAVING,0.471,1,1.466,2.053,111.847,0.06
S002,72,Q416,NORMALIZATION,0.673,0,0.213,28.937,112.06,0.0
S002,73,Q442,NORMALIZATION,0.586,0,1.243,1.243,113.304,0.0
S002,74,Q341,NORMALIZATION,0.653,0,0.772,0.772,114.076,0.0
S002,75,Q068,ORDER BY,0.202,1,7.013,50.362,121.089,0.06
S002,76,Q171,HAVING,0.455,0,1.691,10.933,122.78,0.0
S002,77,Q153,LEFT JOIN,0.611,0,0.39,35.39,123.17,0.0
S002,78,Q408,HAVING,0.471,0,0.715,1.105,123.885,0.0
S002,79,Q028,STORED PROCEDURES,0.783,0,1.125,26.677,125.01,0.0
S002,80,Q051,FOREIGN KEY,0.373,0,0.878,73.321,125.888,0.0
S002,81,Q246,VIEWS,0.684,0,2.448,59.396,128.336,0.0
S002,82,Q409,FOREIGN KEY,0.381,1,1.052,3.499,129.387,0.06
S002,83,Q189,GROUP BY,0.364,0,1.685,28.523,131.072,0.0
S002,84,Q210,GROUP BY,0.475,1,0.175,0.175,131.247,0.06
S002,85,Q428,SELECT,0.158,1,1.041,33.806,132.288,0.06
S002,86,Q345,ORDER BY,0.246,0,1.569,12.768,133.857,0.0
S002,87,Q339,RIGHT JOIN,0.478,1,2.066,77.569,135.923,0.06
S002,88,Q193,INDEXING,0.643,0,0.296,100.86,136.22,0.0
S002,89,Q214,INDEXING,0.488,0,1.3,1.3,137.52,0.0
S002,90,Q430,SUBQUERIES,0.653,0,0.279,59.05,137.799,0.0
S002,91,Q112,INDEXING,0.48,0,0.038,0.317,137.837,0.0
S002,92,Q207,WHERE,0.265,1,2.732,35.091,140.568,0.06
S002,93,Q222,VIEWS,0.416,0,3.615,15.848,144.184,0.0
S002,94,Q090,JOINS,0.609,0,0.771,34.574,144.955,0.0
S002,95,Q293,JOINS,0.674,0,2.692,2.692,147.647,0.0
S002,96,Q438,GROUP BY,0.565,0,1.313,17.712,148.959,0.0
S002,97,Q424,SELECT,0.283,1,1.352,18.024,150.312,0.06
S002,98,Q029,WHERE,0.299,0,0.826,10.569,151.137,0.0
S002,99,Q128,SELECT,0.294,0,1.437,2.263,152.574,0.0011
S002,100,Q430,SUBQUERIES,0.653,0,1.614,16.39,154.188,0.0
S003,1,Q045,WHERE,0.224,1,5.606,5.606,5.606,0.335
S003,2,Q155,TRIGGERS,0.651,0,2.006,7.612,7.612,0.3406
S003,3,Q073,RIGHT JOIN,0.571,0,8.838,16.45,16.45,0.1496
S003,4,Q234,HAVING,0.621,0,1.763,18.212,18.212,0.0735
S003,5,Q313,WHERE,0.359,1,0.938,13.544,19.151,0.1918
S003,6,Q222,VIEWS,0.416,0,0.205,19.356,19.356,0.0
S003,7,Q309,HAVING,0.586,1,5.554,6.698,24.91,0.06
S003,8,Q064,AGGREGATE FUNCTIONS,0.397,0,3.337,28.247,28.247,0.0
S003,9,Q494,NORMALIZATION,0.671,0,0.731,28.978,28.978,0.0374
S003,10,Q364,WHERE,0.339,0,0.276,10.103,29.254,0.0153
S003,11,Q050,ORDER BY,0.39,0,0.469,29.723,29.723,0.0
S003,12,Q052,RIGHT JOIN,0.663,0,0.866,14.139,30.588,0.0
S003,13,Q293,JOINS,0.674,1,2.136,32.725,32.725,0.06
S003,14,Q296,VIEWS,0.472,0,0.013,13.382,32.738,0.0
S003,15,Q395,LEFT JOIN,0.643,0,0.592,33.33,33.33,0.0
S003,16,Q350,TRIGGERS,0.764,1,0.031,25.749,33.361,0.06
S003,17,Q028,STORED PROCEDURES,0.783,0,0.659,34.02,34.02,0.0
S003,18,Q480,STORED PROCEDURES,0.638,0,5.556,5.556,39.576,0.0
S003,19,Q004,AGGREGATE FUNCTIONS,0.438,0,0.238,11.567,39.814,0.0
S003,20,Q383,PRIMARY KEY,0.392,0,6.483,46.297,46.297,0.0
S003,21,Q278,INDEXING,0.499,0,0.994,47.291,47.291,0.0
S003,22,Q476,TRIGGERS,0.613,0,1.44,15.37,48.732,0.0
S003,23,Q192,PRIMARY KEY,0.241,0,1.304,3.738,50.036,0.0
S003,24,Q238,VIEWS,0.43,0,0.56,17.858,50.596,0.0
S003,25,Q316,JOINS,0.535,0,1.004,18.875,51.599,0.0
S003,26,Q247,PRIMARY KEY,0.388,0,6.225,7.789,57.824,0.0
S003,27,Q439,HAVING,0.648,0,0.088,33.002,57.912,0.0
S003,28,Q265,NORMALIZATION,0.689,0,0.317,29.252,58.23,0.0
S003,29,Q018,FOREIGN KEY,0.452,1,1.65,59.88,59.88,0.06
S003,30,Q399,JOINS,0.524,0,0.333,8.614,60.213,0.0
S003,31,Q167,PRIMARY KEY,0.442,1,1.24,3.629,61.454,0.06
S003,32,Q040,LEFT JOIN,0.619,0,0.697,28.82,62.15,0.0
S003,33,Q082,WHERE,0.333,0,0.955,33.851,63.105,0.0
S003,34,Q332,TRIGGERS,0.562,1,0.99,15.363,64.095,0.06
S003,35,Q327,INDEXING,0.496,1,0.187,16.99,64.282,0.06
S003,36,Q400,VIEWS,0.655,0,0.597,14.283,64.879,0.0
S003,37,Q345,ORDER BY,0.246,1,1.082,36.238,65.96,0.06
S003,38,Q365,LEFT JOIN,0.529,0,4.538,8.348,70.498,0.0
S003,39,Q467,TRIGGERS,0.624,0,1.999,8.402,72.497,0.0
S003,40,Q270,INDEXING,0.717,0,1.552,9.768,74.049,0.0
S003,41,Q039,AGGREGATE FUNCTIONS,0.36,1,4.04,38.275,78.089,0.06
S003,42,Q187,HAVING,0.52,0,0.228,20.405,78.317,0.0
S003,43,Q220,TRANSACTIONS,0.748,1,0.271,78.588,78.588,0.06
S003,44,Q131,ORDER BY,0.392,1,0.303,12.931,78.891,0.06
S003,45,Q406,HAVING,0.46,0,1.389,1.963,80.28,0.0
S003,46,Q247,PRIMARY KEY,0.388,0,1.27,20.097,81.551,0.0
S003,47,Q206,SUBQUERIES,0.557,1,0.437,81.988,81.988,0.06
S003,48,Q256,ORDER BY,0.346,0,0.137,3.233,82.124,0.0
S003,49,Q287,VIEWS,0.513,0,1.277,18.523,83.401,0.0
S003,50,Q308,NORMALIZATION,0.626,0,1.676,26.847,85.077,0.0
S003,51,Q254,TRANSACTIONS,0.536,0,1.101,7.59,86.178,0.0
S003,52,Q383,PRIMARY KEY,0.392,0,0.458,5.086,86.637,0.0
S003,53,Q127,WHERE,0.288,0,1.375,24.907,88.012,0.0
S003,54,Q500,GROUP BY,0.633,0,2.081,90.093,90.093,0.0
S003,55,Q481,TRIGGERS,0.686,0,1.212,18.808,91.305,0.0
S003,56,Q408,HAVING,0.471,1,0.999,12.024,92.304,0.06
S003,57,Q109,AGGREGATE FUNCTIONS,0.581,0,4.342,18.557,96.646,0.0
S003,58,Q315,WHERE,0.287,1,0.408,9.042,97.054,0.06
S003,59,Q423,TRANSACTIONS,0.738,0,0.01,10.885,97.063,0.0
S003,60,Q189,GROUP BY,0.364,0,0.252,7.222,97.315,0.0
S003,61,Q210,GROUP BY,0.475,0,1.079,1.079,98.394,0.0
S003,62,Q013,NORMALIZATION,0.686,0,2.201,15.518,100.595,0.0
S003,63,Q094,TRANSACTIONS,0.694,0,0.969,4.5,101.563,0.0
S003,64,Q094,TRANSACTIONS,0.694,0,0.343,0.343,101.906,0.0
S003,65,Q424,SELECT,0.283,0,0.386,102.292,102.292,0.0
S003,66,Q180,INDEXING,0.498,0,1.07,29.312,103.362,0.0
S003,67,Q471,STORED PROCEDURES,0.749,0,1.477,65.263,104.838,0.0
S003,68,Q313,WHERE,0.359,1,0.865,8.65,105.703,0.06
S003,69,Q001,INNER JOIN,0.589,0,2.385,108.088,108.088,0.0
S003,70,Q208,INNER JOIN,0.385,0,0.407,0.407,108.494,0.0
S003,71,Q481,TRIGGERS,0.686,1,2.227,19.416,110.721,0.06
S003,72,Q392,STORED PROCEDURES,0.686,0,0.495,6.378,111.216,0.0
S003,73,Q321,SUBQUERIES,0.781,0,1.415,30.644,112.631,0.0
S003,74,Q371,JOINS,0.51,0,2.084,54.502,114.715,0.0
S003,75,Q273,GROUP BY,0.489,0,0.355,16.677,115.071,0.0
S003,76,Q213,ORDER BY,0.448,1,1.251,34.198,116.322,0.06
S003,77,Q390,GROUP BY,0.446,0,0.683,1.935,117.005,0.0
S003,78,Q493,LEFT JOIN,0.431,0,2.63,49.138,119.636,0.0
S003,79,Q233,INNER JOIN,0.649,0,0.499,11.64,120.134,0.0
S003,80,Q344,SELECT,0.171,1,0.046,17.888,120.18,0.06
S003,81,Q063,UNION,0.406,0,0.064,120.244,120.244,0.0
S003,82,Q273,GROUP BY,0.489,0,1.589,4.828,121.833,0.0
S003,83,Q028,STORED PROCEDURES,0.783,1,2.827,13.444,124.66,0.06
S003,84,Q371,JOINS,0.51,0,1.059,11.003,125.719,0.0
S003,85,Q177,INDEXING,0.605,1,0.496,22.853,126.215,0.06
S003,86,Q308,NORMALIZATION,0.626,0,1.7,27.32,127.915,0.0
S003,87,Q228,HAVING,0.488,1,1.462,37.073,129.377,0.06
S003,88,Q186,GROUP BY,0.402,0,0.489,8.033,129.866,0.0
S003,89,Q184,HAVING,0.542,0,0.877,1.366,130.743,0.0145
S003,90,Q210,GROUP BY,0.475,0,7.187,8.064,137.93,0.0
S003,91,Q460,RIGHT JOIN,0.512,0,0.308,107.65,138.238,0.0
S003,92,Q388,FOREIGN KEY,0.322,0,0.332,78.69,138.57,0.0
S003,93,Q367,HAVING,0.509,0,0.267,8.093,138.836,0.0
S003,94,Q472,INNER JOIN,0.643,0,0.627,19.329,139.463,0.0
S003,95,Q290,SELECT,0.153,0,0.315,19.598,139.778,0.0
S003,96,Q118,GROUP BY,0.421,1,1.627,3.475,141.405,0.06
S003,97,Q448,GROUP BY,0.626,0,0.478,0.478,141.883,0.0278
S003,98,Q152,PRIMARY KEY,0.249,1,2.551,57.797,144.434,0.06
S003,99,Q464,INNER JOIN,0.454,0,2.3,7.271,146.734,0.0
S003,100,Q105,RIGHT JOIN,0.534,0,1.634,10.13,148.368,0.0
S004,1,Q162,UNION,0.64,0,2.908,2.908,2.908,0.3511
S004,2,Q140,STORED PROCEDURES,0.717,0,3.598,6.507,6.507,0.2541
S004,3,Q183,FOREIGN KEY,0.495,0,0.17,6.676,6.676,0.215
S004,4,Q066,SELECT,0.207,0,0.306,6.983,6.983,0.0731
S004,5,Q473,RIGHT JOIN,0.495,1,2.983,9.966,9.966,0.138
S004,6,Q469,SELECT,0.241,0,1.992,4.975,11.957,0.0
S004,7,Q294,HAVING,0.618,1,1.719,13.677,13.677,0.1988
S004,8,Q366,TRIGGERS,0.664,0,1.36,15.036,15.036,0.0326
S004,9,Q277,TRANSACTIONS,0.681,0,1.314,16.351,16.351,0.2028
S004,10,Q070,HAVING,0.608,0,3.491,6.165,19.841,0.0813
S004,11,Q303,WHERE,0.319,0,0.023,19.864,19.864,0.0
S004,12,Q149,ORDER BY,0.264,0,2.58,22.444,22.444,0.0
S004,13,Q151,INNER JOIN,0.5,0,1.804,24.249,24.249,0.0
S004,14,Q138,TRANSACTIONS,0.588,0,0.594,8.492,24.842,0.0505
S004,15,Q203,FOREIGN KEY,0.255,0,2.422,20.588,27.264,0.0
S004,16,Q237,SUBQUERIES,0.801,0,0.118,27.382,27.382,0.0
S004,17,Q443,AGGREGATE FUNCTIONS,0.346,0,5.911,33.293,33.293,0.0
S004,18,Q073,RIGHT JOIN,0.571,0,3.391,26.718,36.684,0.0
S004,19,Q360,PRIMARY KEY,0.348,0,0.049,36.733,36.733,0.0
S004,20,Q476,TRIGGERS,0.613,1,0.379,22.076,37.112,0.06
S004,21,Q205,VIEWS,0.597,0,1.259,38.371,38.371,0.0
S004,22,Q445,STORED PROCEDURES,0.733,0,0.424,32.288,38.795,0.0
S004,23,Q094,TRANSACTIONS,0.694,1,0.451,14.404,39.246,0.06
S004,24,Q469,SELECT,0.241,0,0.412,27.7,39.658,0.0
S004,25,Q031,INDEXING,0.548,0,0.081,39.739,39.739,0.0
S004,26,Q439,HAVING,0.648,1,0.369,20.267,40.108,0.06
S004,27,Q385,GROUP BY,0.478,0,0.437,40.546,40.546,0.0
S004,28,Q182,NORMALIZATION,0.512,0,3.42,43.966,43.966,0.0
S004,29,Q022,UNION,0.499,0,0.973,42.031,44.939,0.0
S004,30,Q008,JOINS,0.4,0,0.259,45.198,45.198,0.0
S004,31,Q090,JOINS,0.609,1,0.254,0.254,45.452,0.06
S004,32,Q496,NORMALIZATION,0.716,1,0.987,2.473,46.439,0.06
S004,33,Q366,TRIGGERS,0.664,0,0.303,9.63,46.742,0.0
S004,34,Q143,WHERE,0.264,0,2.603,29.481,49.345,0.0
S004,35,Q241,STORED PROCEDURES,0.818,0,0.484,11.034,49.829,0.0
S004,36,Q060,TRIGGERS,0.598,1,0.189,3.276,50.018,0.06
S004,37,Q305,UNION,0.595,0,0.819,5.898,50.837,0.0
S004,38,Q303,WHERE,0.319,0,0.968,2.461,51.805,0.0
S004,39,Q198,TRIGGERS,0.796,0,1.593,3.38,53.398,0.0
S004,40,Q388,FOREIGN KEY,0.322,0,1.239,27.373,54.637,0.0
S004,41,Q013,NORMALIZATION,0.686,0,0.38,8.578,55.017,0.0
S004,42,Q399,JOINS,0.524,1,1.423,10.988,56.44,0.06
S004,43,Q492,ORDER BY,0.258,0,1.773,35.769,58.213,0.0
S004,44,Q404,SELECT,0.335,0,1.2,19.756,59.413,0.0
S004,45,Q432,NORMALIZATION,0.754,0,0.072,4.468,59.485,0.0
S004,46,Q381,WHERE,0.339,0,0.701,8.381,60.187,0.0
S004,47,Q065,INNER JOIN,0.622,0,0.881,36.819,61.067,0.0
S004,48,Q454,AGGREGATE FUNCTIONS,0.435,0,1.69,29.464,62.757,0.0
S004,49,Q368,WHERE,0.261,0,0.367,2.937,63.124,0.0
S004,50,Q296,VIEWS,0.472,1,0.256,25.009,63.38,0.06
S004,51,Q190,SUBQUERIES,0.738,0,0.255,36.253,63.635,0.0
S004,52,Q352,AGGREGATE FUNCTIONS,0.46,0,3.172,4.05,66.807,0.0
S004,53,Q246,VIEWS,0.684,1,0.573,4.0,67.38,0.06
S004,54,Q159,JOINS,0.491,0,4.759,15.699,72.14,0.0
S004,55,Q264,TRANSACTIONS,0.523,0,0.077,32.971,72.217,0.0
S004,56,Q103,WHERE,0.449,0,1.513,10.606,73.73,0.0
S004,57,Q483,VIEWS,0.52,0,0.144,6.494,73.874,0.0
