question_id,concept,difficulty
Q244,LEFT JOIN,0.512
Q245,SELECT,0.37
Q246,VIEWS,0.684
Q247,PRIMARY KEY,0.388
Q248,JOINS,0.612
Q249,TRIGGERS,0.783
Q250,INNER JOIN,0.477
Q251,TRIGGERS,0.583
Q252,ORDER BY,0.263
Q253,STORED PROCEDURES,0.691
Q254,TRANSACTIONS,0.536
Q255,RIGHT JOIN,0.673
Q256,ORDER BY,0.346
Q257,VIEWS,0.425
Q258,SELECT,0.206
Q259,JOINS,0.641
Q260,PRIMARY KEY,0.442
Q261,NORMALIZATION,0.767
Q262,AGGREGATE FUNCTIONS,0.576
Q263,GROUP BY,0.516
Q264,TRANSACTIONS,0.523
Q265,NORMALIZATION,0.689
Q266,FOREIGN KEY,0.324
Q267,SELECT,0.307
Q268,ORDER BY,0.425
Q269,AGGREGATE FUNCTIONS,0.384
Q270,INDEXING,0.717
Q271,UNION,0.382
Q272,LEFT JOIN,0.451
Q273,GROUP BY,0.489
Q274,STORED PROCEDURES,0.63
Q275,HAVING,0.692
Q276,VIEWS,0.484
Q277,TRANSACTIONS,0.681
Q278,INDEXING,0.499
Q279,FOREIGN KEY,0.269
Q280,JOINS,0.685
Q281,HAVING,0.584
Q282,WHERE,0.221
Q283,STORED PROCEDURES,0.715
Q284,HAVING,0.408
Q285,SELECT,0.344
Q286,STORED PROCEDURES,0.846
Q287,VIEWS,0.513
Q288,VIEWS,0.651
Q289,WHERE,0.209
Q290,SELECT,0.153
Q291,JOINS,0.608
Q292,HAVING,0.7
Q293,JOINS,0.674
Q294,HAVING,0.618
Q295,SUBQUERIES,0.805
Q296,VIEWS,0.472
Q297,RIGHT JOIN,0.489
Q298,TRIGGERS,0.632
Q299,GROUP BY,0.419
Q300,VIEWS,0.627
Q301,WHERE,0.29
Q302,LEFT JOIN,0.407
Q303,WHERE,0.319
Q304,ORDER BY,0.33
Q305,UNION,0.595
Q306,UNION,0.518
Q307,VIEWS,0.44
Q308,NORMALIZATION,0.626
Q309,HAVING,0.586
Q310,WHERE,0.401
Q311,INNER JOIN,0.391
Q312,WHERE,0.288
Q313,WHERE,0.359
Q314,NORMALIZATION,0.631
Q315,WHERE,0.287
Q316,JOINS,0.535
Q317,NORMALIZATION,0.619
Q318,SUBQUERIES,0.809
Q319,HAVING,0.639
Q320,SUBQUERIES,0.828
Q321,SUBQUERIES,0.781
Q322,TRANSACTIONS,0.638
Q323,WHERE,0.355
Q324,WHERE,0.282
Q325,AGGREGATE FUNCTIONS,0.474
Q326,AGGREGATE FUNCTIONS,0.323
Q327,INDEXING,0.496
Q328,INDEXING,0.642
Q329,LEFT JOIN,0.609
Q330,ORDER BY,0.419
Q331,STORED PROCEDURES,0.731
Q332,TRIGGERS,0.562
Q333,HAVING,0.504
Q334,SUBQUERIES,0.603
Q335,JOINS,0.436
Q336,RIGHT JOIN,0.557
Q337,FOREIGN KEY,0.341
Q338,FOREIGN KEY,0.333
Q339,RIGHT JOIN,0.478
Q340,NORMALIZATION,0.688
Q341,NORMALIZATION,0.653
Q342,AGGREGATE FUNCTIONS,0.576
Q343,VIEWS,0.483
Q344,SELECT,0.171
Q345,ORDER BY,0.246
Q346,NORMALIZATION,0.661
Q347,FOREIGN KEY,0.405
Q348,FOREIGN KEY,0.366
Q349,PRIMARY KEY,0.216
Q350,TRIGGERS,0.764
Q351,NORMALIZATION,0.753
Q352,AGGREGATE FUNCTIONS,0.46
Q353,PRIMARY KEY,0.417
Q354,JOINS,0.56
Q355,NORMALIZATION,0.531
Q356,HAVING,0.455
Q357,INNER JOIN,0.447
Q358,INNER JOIN,0.377
Q359,UNION,0.42
Q360,PRIMARY KEY,0.348
Q361,GROUP BY,0.457
Q362,RIGHT JOIN,0.6
Q363,NORMALIZATION,0.675
Q364,WHERE,0.339
Q365,LEFT JOIN,0.529
Q366,TRIGGERS,0.664
Q367,HAVING,0.509
Q368,WHERE,0.261
Q369,PRIMARY KEY,0.283
Q370,SELECT,0.152
Q371,JOINS,0.51
Q372,INDEXING,0.498
Q373,AGGREGATE FUNCTIONS,0.326
Q374,RIGHT JOIN,0.474
Q375,TRIGGERS,0.555
Q376,HAVING,0.695
Q377,JOINS,0.519
Q378,AGGREGATE FUNCTIONS,0.56
Q379,JOINS,0.693
Q380,JOINS,0.601
Q381,WHERE,0.339
Q382,LEFT JOIN,0.543
Q383,PRIMARY KEY,0.392
Q384,JOINS,0.69
Q385,GROUP BY,0.478
Q386,SELECT,0.334
Q387,UNION,0.384
Q388,FOREIGN KEY,0.322
Q389,HAVING,0.552
Q390,GROUP BY,0.446
Q391,ORDER BY,0.213
Q392,STORED PROCEDURES,0.686
Q393,HAVING,0.419
Q394,UNION,0.411
Q395,LEFT JOIN,0.643
Q396,SELECT,0.185
Q397,RIGHT JOIN,0.678
Q398,AGGREGATE FUNCTIONS,0.442
Q399,JOINS,0.524
Q400,VIEWS,0.655
Q401,UNION,0.473
Q402,AGGREGATE FUNCTIONS,0.582
Q403,UNION,0.464
Q404,SELECT,0.335
Q405,LEFT JOIN,0.648
Q406,HAVING,0.46
Q407,ORDER BY,0.241
Q408,HAVING,0.471
Q409,FOREIGN KEY,0.381
Q410,GROUP BY,0.445
Q411,SUBQUERIES,0.668
Q412,LEFT JOIN,0.536
Q413,LEFT JOIN,0.513
Q414,TRIGGERS,0.737
Q415,SELECT,0.337
Q416,NORMALIZATION,0.673
Q417,VIEWS,0.67
Q418,WHERE,0.336
Q419,LEFT JOIN,0.469
Q420,INNER JOIN,0.385
Q421,JOINS,0.5
Q422,TRIGGERS,0.65
Q423,TRANSACTIONS,0.738
Q424,SELECT,0.283
Q425,INNER JOIN,0.522
Q426,JOINS,0.626
Q427,HAVING,0.634
Q428,SELECT,0.158
Q429,WHERE,0.391
Q430,SUBQUERIES,0.653
Q431,JOINS,0.561
Q432,NORMALIZATION,0.754
Q433,TRANSACTIONS,0.619
Q434,LEFT JOIN,0.445
Q435,NORMALIZATION,0.623
Q436,PRIMARY KEY,0.38
Q437,TRIGGERS,0.758
Q438,GROUP BY,0.565
Q439,HAVING,0.648
Q440,SUBQUERIES,0.653
Q441,JOINS,0.52
Q442,NORMALIZATION,0.586
Q443,AGGREGATE FUNCTIONS,0.346
Q444,PRIMARY KEY,0.235
Q445,STORED PROCEDURES,0.733
Q446,NORMALIZATION,0.718
Q447,AGGREGATE FUNCTIONS,0.58
Q448,GROUP BY,0.626
Q449,HAVING,0.677
Q450,LEFT JOIN,0.595
Q451,VIEWS,0.573
Q452,RIGHT JOIN,0.577
Q453,FOREIGN KEY,0.484
Q454,AGGREGATE FUNCTIONS,0.435
Q455,FOREIGN KEY,0.309
Q456,FOREIGN KEY,0.297
Q457,SELECT,0.367
Q458,TRIGGERS,0.727
Q459,NORMALIZATION,0.516
Q460,RIGHT JOIN,0.512
Q461,RIGHT JOIN,0.484
Q462,TRANSACTIONS,0.661
Q463,AGGREGATE FUNCTIONS,0.577
Q464,INNER JOIN,0.454
Q465,WHERE,0.43
Q466,AGGREGATE FUNCTIONS,0.31
Q467,TRIGGERS,0.624
Q468,INNER JOIN,0.4
Q469,SELECT,0.241
Q470,AGGREGATE FUNCTIONS,0.49
Q471,STORED PROCEDURES,0.749
Q472,INNER JOIN,0.643
Q473,RIGHT JOIN,0.495
Q474,LEFT JOIN,0.551
Q475,SELECT,0.227
Q476,TRIGGERS,0.613
Q477,TRIGGERS,0.655
Q478,VIEWS,0.411
Q479,INDEXING,0.619
Q480,STORED PROCEDURES,0.638
Q481,TRIGGERS,0.686
Q482,WHERE,0.334
Q483,VIEWS,0.52
Q484,JOINS,0.63
Q485,GROUP BY,0.405
Q486,INNER JOIN,0.576
Q487,SUBQUERIES,0.631
Q488,FOREIGN KEY,0.382
Q489,SELECT,0.156
Q490,STORED PROCEDURES,0.81
Q491,LEFT JOIN,0.408
Q492,ORDER BY,0.258
Q493,LEFT JOIN,0.431
Q494,NORMALIZATION,0.671
Q495,TRIGGERS,0.746
Q496,NORMALIZATION,0.716
Q497,ORDER BY,0.261
Q498,FOREIGN KEY,0.401
Q499,FOREIGN KEY,0.458
Q500,GROUP BY,0.633
